	备注	弹幕填充ing
1433	私企地产，单休，经常加班	地产这么低 不是吧不是吧？
1434	央企二级单位设计院的子公司（含设计施工监理业务，我们属于设计部门），子公司说今年现金流困难，但是我们部门新签合同额2700万，到款2100万，利润1700万，部门20人（含4个领导+1个司机）感觉还是被压榨了，出差多，加班有事加没事不加	
1435	中等级别室内设计事务所，后半年几乎没什么项目，但愿23年可以崛起	
1436	一共九个人，六个员工三个领导，一年到头当长工	
1437	憨货老板不懂怎么发的家，年年画大饼，年年储备人才但是每年都接不到新项目 老板在行业内被公认人品差 估计撑不了多久了 想来的新人看到这个建议不要来 	留下公司名字
1438	有项目加班，没项目摸鱼	房租交不起
1439	一半人	房租交不起
1440	上班摸鱼，下班艾特，工作日不干活，周五布置任务，周末固定在办公室，月薪3000，工作996，熬夜加班助力领导喜提新车！！！	哈哈哈哈上班摸鱼，下班艾特，我这里tm也是这样
1441	有一注证书，准备换地方蹲了，取消年薪取消奖金取消绩效。	有一注才14w 真的好惨啊
1442		
1443	今年项目少，来来回回折腾，加班一般多，平均876吧；往年都是907，一周工时能到90+H，周末还要10点打卡，不然扣钱。没有底薪，全部都是预发。挂靠的小作坊，各种不规范。五十个人里10个是天天摸鱼的领导。平均每年提桶一半人，在这个公司里没有呆过5年的普通员工，小组长都沾亲带故；工作8年的前辈月薪7-8K；	一线画图工，中级无注册
1444	"这两年都这样，项目太少了，磨洋工都能做完，一天八个钟，按时上下班，晚上、周末正常放假，以前基本不可能的！今年不用加班，不需要出差外地，自然也没钱。往年年收入都能10w以上，我基本可以搞到20w，而现在，我居然还算院里高收入了，不少人产值算完还倒欠公司钱钱，令人唏嘘。想跳槽不知道去哪，北投交投机场城投这些，又木有关系，过不了面试。sorry，给母校招了黑。

"	盲猜BSK？
1445	虽然没钱，但是不用加班，按时上下班，上班就是网上冲浪也没事做	竹溪大道那家吗
1446	私企上市设计院，垃圾公司，项目回款才给设计人员发工资	臭水沟旁边那家啊
1447	工资定时发，回款才算奖金绩效。强度不低，项目不少，反复修改重出的次数也很多。单看项目文件夹两年二十个项目，加上前人离职遗留下来十几个项目，基本每个项目包括一个路网或管网，总长大部分是10公里以上。加不加班看个人效率了，对我来说，好处在于船小好调头吧	
1448	发工资就好😂	
1449	私企加班多	
1450	兄弟们都去开直播算了，这几年真的哭了	
1451	看了一下，广西上10万都是人中龙凤了看来	
1452	瑞康设计（懂的都懂），为了战略调整年底裁员。季度财报说工资支出4个亿，人均算下来差不多1.4w/月，实际一线设计人员到手就2800~5000。集团一年内需要偿还的负债1.6亿。详细情况可以看年报，不赘述。有些项目变更都出了还没收到款。工作安排非常紧急，经常上午说下午要，或者什么几个项目一起做几个星期送审一个月出图。一年大概只有1.5个月是每天工作8小时的，其他时间都是每天10~14小时，单休甚至无休无假期。	
1453	私企，项目很多，管理较乱，领导管不过来，人手匮乏。只拿这点钱看不到出路	硕士往外面跑啦，还进私企干嘛
1454	广西就一所211	他妈的，上次面试差点去，还好没去。挂着西大的名头招摇撞骗
1455	公司还招人吗？	私企公积金那么高？3000+？确定不是300？
1456	辣鸡公司，挂靠2个公司出图，就是几个老板合伙拉项目回来干的那种，项目又辣鸡的一批，考勤非常严格，动不动就是扣钱，23年开始月发1800，我去尼玛的！！！	还有一个，行政人员换得比设计人员还勤快，专门找漂亮妹子回来当行政，但是又不舍得给钱，所以经常换行政。。。
1457	私企，老板为了公司运营，把自己的别墅卖了，项目艰难维持着，考一注几年了，还没上岸，感觉看不到未来，想改行或者换工作，曾经有一份美差摆在我面前被我拒绝了，现在特后悔，也许这就是人生吧。	我也是呜呜，待这垃圾公司就为考、挂皮出图管理混乱的垃圾公司
1458		在裕达的？
1459	改制后跟私企已经差不多了，想转行了	
1460		
1461	这种情况下，发得起工资就不错了	
1462	出差多，200天以上	
1463	公司每年都说发年终奖，实际上每年都在扣押你的年终，只发了你两千过年费当作年终	广西没出路了
1464	某自治区规划院，巨坑，全院停发绩效，每月到手2500，人麻了，裸辞已跑	
1465	注册给排水，行业看不到希望，感觉行业进入寒冬了额，而且尽头还不是春天	
1466		领导一到年底就哭穷，我呸，收不到钱是我的错吗，又不是我没干活，收不到钱领导们不自我检讨一下吗？         骂得好，哈哈
1467	"（麻烦不要乱改我备注，吐槽到后面一栏OK?）
月发3.5k，年终奖两年发不出来，考虑转行咯。"	一眼某蓝
1468	是不是收入高的都不好意思发	能不能来个收入高的让我对行业充满点希望！！！！
1469	"一个医院边上的那家（懂得都懂）
"	不如送外卖
1470	一年从头到尾加班加点，工资这么低CNM垃圾公司，垃圾项目，tmd谁爱画谁画去，去养猪场扫猪屎都不止这点钱，老板天天哭穷说收不到米，准备跑路！！！！	你要理解老板是为了你好，他是拿钱去给你换老板娘了，哈哈
1471		
1472	大项目多，工作强度大，回款少得可怜，还能发这个工资听说也是贷款的，也是担忧未来。某些业主的项目基本是随时待命，动不动一两天要给成果，夜里被通知去开过会，做过ppt，周末出去玩总担心有啥事，心事一直挂着，出去玩也不尽兴，笑不起来，很多东西没定一直赶，无用功超级多，出了问题全是设计的锅，白菜价白粉心，出点啥事都睡不好，现在好了，看开就开始摆烂了，随时提桶跑路。	第一年坐标一二线城市税前10w多点，但是真的能感受到生活，基本可以实现朝九晚五，公司注重人文情怀，各种脱产培训、排练节目，一个小项目一群人一窝蜂上，感觉压力小（可能当时没当负责人吧感受不到，但是加班的人真的少），但是当时感觉项目少得不到历练，且大城市房价高第二年开始返乡就业，在私企第一年到手7w，第二年10.5w，也是挺忙的，当时还不够老油条，不会摆烂，啥事都往前冲，按领导计划赶进度，周末都不怎么出去玩，外省的朋友过来问哪里好玩好吃的一概不知，被别人带着出去玩。如今4年半过去了，疫情占了三年，疫情放开了房产的同学也各种惨叫，待岗，裁员...还是看不到行业好转的迹象，有其他好点的机会，随时提桶。不过对比了南宁其他待遇，还算好了，不过还是干不动了，干不动干不动，想找个稍微轻松点的，下班之后不要各种事，大不了打两份工。
1473	地产早早跑路，人民公仆	
1474	合同2800，到手3300，福利什么全算进年收入，月绩效看领导心情，年终奖也看领导心情。领导不要帐，全靠员工磨。项目全靠舔。对自己人下死手，对业主跪舔。请假拉个脸。	
1475	现在形势很严峻，市政项目基本无法回款，感觉企业即将倒闭。现在状态是又穷又忙	赶紧跑路
1476	"随时失业，项目不饱和，没有安全感。考勤严格，迟到扣钱，无偿加班。市内出差交通费自理。市外出差每天补贴30元，吃粉报销。

一级建筑？这个到手？肯定没算打野（挂证收入）私人这些吧"	有好的选择就跑路
1477		有好的赶紧换
1478	项目很复杂，空间规划只是冰山一角，只要跟自然资源接触局的项目都做，累	大哥你在哪家上班呀?
1479	垃圾设计   狗都不做	某兰？
1480	麻了麻了少劳少得，之所以不走，是因为我想要院里买的正版设计软件炒野马嘻嘻	年终-15w是什么操作？（A：就是年薪5W。。。。）
1481	上市私企就这几家，懂的都懂，废了！（民族大道上）	上市私企就一家
1482	好怕明年就解散了......	不小心点错老哥你的了（
1483	心寒了，每年都是三千，还得帮避税，拼命再多人家都不会给你钱的	已经很多在准备跑路了
1484	完全废了，无效免费工作多	
1485	辛辛苦苦工作一年，还有两天过年了都还没发年终金，加班多不说，钱是真的少，还得被业主白嫖，单位每年都是负产值，工资还要借钱发。领导天天画饼洗脑，钱到账才是真的啊，不会吧不会吧，这年头不会还有领导企图用饼给员工填饱肚子的吧？送钱送命给工作岗位得了	
1486	傻逼公司，傻逼企业。今年还降工资了，拼命再多钱也没多多少，还不如炒野马。年年骗人年薪10W，我有你吗十万。但是我就不跑，我还要炒野马。公司的活我是能推就推，炒更我是能接就接。混就完事了，等着这傻逼企业死的那天，给他妈“雨田”董他妈来上一刀。	又是医院边上那家？
1487		
1488	就很疲惫，时间久了也就是一个画图熟练工而已，无所谓设计不设计。想跑路又不知道去哪里，这行业就这逼样。	5年经验的硕士，属实有点惨。。。跑吧兄弟，去跟私人老板混都不至于这样
1489	瑞康设计+1，天天加班，就挣那么点钱还要帮领导层避税，一年到手也就6w，tmd公司在个税app上给你报年收入20w+。发那点钱还要继续压榨你。每个季度公司都有发绩效，但是要立即转回给所里。不是人待的地方。领导各种给你画饼，说是重点培养，其实就是把活都压给你的借口。	领导收入大几十万吧？
1490	做地产的，没啥钱，一年没几个项目，个别项目正常完结，剩下几个项目反复做，都不知道磨了多久了，业主动不动就扣设计费压人。头头说不给钱不给图，刚给了点就答应给货了，为了回款，各种不合理节点都答应，但是最后回多少就不懂了。开会说行情不好，多体谅，有口吃的就很好了。可已经饿死了。	都是这个叼样
1491	"创业开工作室第二年，接一些设计院和地产的项目，元旦喜提X5 40Li运动，明年又是充满希望与斗志的一年，坏消息就是体检出了脂肪肝。明年目标是做大做强接更多项目，考虑挂靠设计院更好的接项目。
（祝你和你全家月月得新冠）
（准备挂路灯）"	老板，咋不给人交点公积金呢
1492		
1493	华蓝设计集团有限公司	你们自己想象吧，唉
1494	没错就是瑞康医院对面的某蓝，全年几乎都在赶项目，甚至牺牲节假日，活没少干。发不起奖金，没有年终，更可笑的是工资没有对面医院的保安大哥们高，心寒...	 
1495	按时上下班	
1496		老哥工作10年年薪才4.2w，你咋活啊
1497	凤翔路某华，对外宣称入职年入15+。没啥项目，天天搞什么人才盘点，周六还要喊口号，无脑舔甲方，压榨员工价值，反正月发固定，干不干都要发还不如多恶心恶心你	华J city 吧？
1498	月薪2k多天天加班，基本无双休，什么节假日都不可能让你休完整，准备跑路回家	兄弟，你这比某蓝的还惨
1499	钱么没有，班么猛加，饼么狂画。准备卷铺盖走人了，不是人待的地方，领导弱势，刀口向内，给老子爬。	月薪2500，还不如去上面兄弟发的招聘当保安
1500	大家都是自己人	6，我看到希望了
1501	活多，公司制度混乱，年终完全看老板心情大，劳动跟收入不成正比	
1502	双休，按时上下班，摸鱼很闲，偶尔要去工地帮忙或者出差	
1503	写的去年收入到手15w+，全年加班到十点十一点的天数不超30天，平常基本六七点下班周末双休，公司无强制加班文化，加班地点和时间自由，节点按时交图就行，工资不拖欠，年终多少看产值，个人能力强项目做得多发得多，个人项目做得少年终也有1-2w，今年产值是去年两倍，能发多少还未知	希望有大手半小时内拿到这家公司的信息，想马上立即入坑
1504	没啥事 混吃等死 不知道什么时候下岗	
1505	20~22年项目较多，加班较多	
1506	双休，按时上下班。没钱没项目，画的都是没钱的图	某一设计院，6个月没发工资了，不要来！
1507	工作日经常加班2-3h，有时也会有周末	
1508	加班多得黑文，年底发钱的时候呵呵呵呵	
1509	有时候加班	
1510		
1511	行情严峻，甲方作图催的很，老板为讨好甲方 拼命压榨，啥事情拼命催。工作很不舒服。准备回家躺平	年后还是跑路
1512	看看这些妖魔鬼怪	
1513	夫妻公司去不得啊	哈哈哈哈楼上区规院是不是玩不起，2500的工资还是夏季有高温补贴的，没补贴后是2300
1514	今年2300工时，去年2700工时，年后撤了	
1515	大公司，领导搞小团体，背后说人坏话，没有归属感，没有安全感，一年搬八百次座位，天天裁员警告	不会是基什么的那家公司吧？
1516		大哥哪个公司 给还招人
1517		
1518	不算特别忙，工作十年。	12年才12w。。。什么行业干12年都很赚了吧
1519	又累又穷	感觉去干什么都能挣到这点钱
1520	小公司人少 我们组才几个人 基本单休 平常无限制加班 赚不到什么钱也存不下钱，糊口饭吃	干的和拿的不成比 不如自己打野
1521	小公司，天天加班到十一点	
1522	混日子 等死 较上一年收入缩水70% 毫不夸张的说 已经对行业失望透顶了	
1523	"惨
"	
1524	加班多，风气差，一起卷。考证无望，上升无望。	想谋出路，没有出路
1525	看团队，嫡系项目多得做不完，边缘团队根本没项目，听说明年产值系数还要降	（某欠了好几个亿的国企
1526	做小弟，不是特别忙	混日子等死
1527	想学施工建造与其中的建构逻辑，无人可问，举步维艰，只能自我努力了。工作室人员流动太大，心累或许也是一场自我的修行吧	大理还有这收入，好牛，推荐给我去看花与海\(^o^)/~
1528	22年的项目基本都没收到款，月发都是前几年的老本，实际整个22年就给了年终这7万，23年项目收款以后应该还能分点	和去年一比落差有点大啊，同省院，23年感觉没有项目了
1529	没项目 基本无加班 基本也赚不到钱	收入一年比一年
1530	加班多，风气差，卷翻天。画饼一流，祝早日倒闭，别耽误年轻人。	大家早日谋出路吧，别留恋了
1531	加班的全是刚来的小年轻，遇着挨骂的或者繁杂的就甩给年轻的做。	边苟着边另想出路
1532	画饼吃不到累了，没钱讲情怀就是在放屁	干啥不好呢
1533	太累了，整天画饼，设计部门发工资都成问题。已半转施工	
1534	老板赚得盆满钵满，一直都有项目。小项目个人完成，基本不加班。但是一遇到大项目就天天加班（资料整理、现场勘察、文本编制一类工作，严格来说其实跟设计不是很搭嘎）	
1535	跟楼上差不多，老板太抠门了我想骂的太多了，想想累了懒得说了	
1536	唉太垃圾了，来之前听说还行，来了之后，，年不知道咋过，回去问起来丢人，这半年真是自己赔钱给国家做贡献，不行跑路去省院了。	
1537	单休，无加班费，小公司，社保也拖了好久才交，还押了一个月工资	轻松吗？不轻松快跑
1538	不给配电脑 公司里面做规划没人带 全是新人都没经验 加班不算严重但也不少  	有没有老兄给推荐个 合肥可以的规划单位！！！
1539	一般情况下正常双休，晚上对半加班，很少过十点	
1540	双休，加班还行，工资也按时发，比私企轻松点	是不是211才能进 安建工这种是不是前2名才有机会
1541	加班也多，但比起一般私企设计院还是轻松点，吃穿住都有补贴平时开销少	
1542		深圳院？华东院？省院？
1543		
1544		
1545	工作强度不大，时间多，不知道还能坚持多久	哪个院？    好像是建科院吧？
1546	我年底到手估计6W左右吧	
1547		
1548	打着央企旗号的私企	
1549	实际到手加公积金一块16W左右	
1550		
1551	活不好干  	
1552	大家都来新疆，鸭梨小。	新疆这工资认真的吗，十年工作经验，压力还小吗
1553	地产，每天摸鱼，不知道什么时候被优化，准备以后考公	强制加班，可以现在去它办公室，抽它！！！
1554	天天累的跟个狗似的，完事老板还 不发提成 ，低工资还低的一批	
1555	社保公司部分也是每个月工资里扣，单休，偶尔加班	太原没有正经交社保的设计院，国企也是！！！！！！！！！
1556	考公上岸了，羡慕不，哈哈 反正你们打不到我。垃圾设计院，毁我青春。	大哥工作五年后考上公务员？
1557	一年像驴子一样干，领导一天也不想让休息，周末节假日也不需要，没有钱，不知道自己待下去有何意义	
1558	没啥活，养老单位，每天歇着，算是被坑了，大半年没活，逐步挑战底线，转正缓慢，半年让你实习，实习工资在转正后慢慢补发，领导觉得你不行，就先签劳务派遣，劳务派遣拖欠工资更随便，而且明确告你无公积金，22年孩子出生，家里事情有些多，不然不在这垃圾单位，领导把员工当傻子，经常办不是人的事，工程集团公司的小分公司设计院，管辖30个人，摆着万人公司领导的派头，蜜汁自信，能力奇差，不自知，揽不到活，导致拖欠工资，	
1559	公司基本工资低，年终未知，不知道何去何从。	有那个大佬收留
1560	一坑跳一坑，放弃幻想准备考公	
1561	方案施工图一把抓，今年虽然艰苦，但是还是挺过来了。	
1562	年产值10w，但是目前还没发年终，后半年景观做的多，好几个项目的方案+施工图，建筑项目前半年做的多，小单位，有时候还得做标书，朝九晚五双休，但是忙起来白天黑夜连轴转，最受不了实时待命，打算考公	
1563	设计管理（建筑、景观、精装、机电），之前在top10地产，现在行业惨淡，混吃等死中，原来谈的15w的薪资，现在才给了10w，年底三个月连着每个月只发低保，年底了各个供方都上门来要钱了，卖不出去房子也没钱付款。项目23年就结束了，不知道会被分流去哪里，集团那边最近优化出来几十个高管无处安置。看了下个税app，今年收入比去年少了10w多。乃球的。	
1564	国企施工单位的设计院，比较清闲，但收入也少的离谱，养老好单位，准备考公。	山西的尽头果然是考公嘛！
1565	设计干了俩年，水平不行，一天整的就像业主方的零时工一样，天天给业主干活，愈发感觉我们就是国企的外包，杂七杂八的东西乱干，方案可研，现场调研报告乱写。	
1566		
1567	双休，但是每周最少都要加班一天	6
1568	几乎不加班，主要今年也确实比较佛系，没咋主动要活干，分到自己头上的才做，今年房地产不景气居建项目也少了，单个项目奖金折扣比前两年折扣较大，绿色建筑&海绵城市业务欢迎联系，地区不限，V：nuli_banzhuan	
1569	单双休，不加班，无任何福利，行政很狗	
1570	双休，不加班	
1571	看你们这么低我决定把主任的工资写上来激励一下大家	你小子行啊
1572	经常加班，傻逼公司，从上到下管理层都是傻逼	
1573		
1574	忙的时候周末需要加班，不忙的时候朝九晚五，双休，3/4时间属于忙的	
1575	22年无任何福利补贴	
1576	摸鱼填写	 
1577	摸鱼时候摸鱼，  加班加得你疯狂	
1578	别删我的，我写的是真的，艹。	你这可以的
1579	加班也多，吃住在公司，出差没有补贴，。	
1580	经常改，无用功多，要求高很繁琐，随时要配合甲方的修改和回复	
1581	一开始说有提成，有设计费，做到后面没一个项目给提成，空耗时间。客户结算的时候说少点，老板就少。我们要提成的时候含糊其辞。挨骂就是我们。不过加班少	"本来明年想着回来发展来着
"
1582	政治站位，跟某些领导走近一点，多方面发展，别的我不多说。	木博牛逼！！！！！
1583	能溜就溜	
1584		
1585	劳派，固定绩效很无语	兄弟你这个是不是月薪写成年薪了
1586		
1587	一个人管多个项目，一年市区跑了2.5w公里，现在心力憔悴，已经在考虑转行了，趁着还没过35岁，考事业单位或者公务员。	
1588	单休、包中餐，住宿舍，一金自己买，五险按最低缴	大哥，没写错么90w-100w
1589	"
全年几乎感觉没有住宅项目，全是苟延残喘
"	"海南的就一条啊，我记得昨天还看到一个三亚的（三亚的已经恢复咯~应该是被人误删）
老哥好啊，你在线啊，（我一直在哈哈哈。）                                      我已经转行了，22年年尾时候我问了一下我们外包财务，她说住宅貌似过得不错？有个老板月薪2万挖人呢，我在金盘路这边看到不少工地一直在施工。封顶才没多久，都开售了。"
1590	私企，业余搞点感兴趣的业务，工作只是养家糊口方式之一。	6
1591	不在公司，跟一些小设计公司合作模式，比较自由，但没有交社保及工资，收入全靠与各公司合作接活得来	与小设计院合作模式
1592	"公司的项目是帮老板赚钱，自己的项目才是实打实的赚
"	是淘宝接单那种私活还是接完整项目的呀？
1593	刚好在最忙的部门，非常的累，没有自己的生活，身体也吃不消，工作日就不说了周末加班是常态，经常到凌晨一两点，每个月也得通宵一两回，想转行	有没有海口景观的55
1594	做的是大陆的项目，加班节奏跟大陆甲方需求走，不过甲方年底暴雷了，项目可能会夭折。香港强度还行，做香港本土的项目会轻松一点。	香港工资是不是发美元
1595		港耶V50
1596		
1597	做大陆项目/一般只要港校和海归/想赚钱来香港就要去local firm	
1598		
1599	主要做港澳项目，项目很多，强度能接受，目前看来还行，就是生活成本高，学粤语看英文文件比较麻烦，还有就是成家难吧。	生活成本占到多少
1600		
1601	已经辞退了，生活没意思	楼上是设计院倒闭了处理电脑吗
1602	工作强度适中，钱给得还可以，暂时不打算走	居然遇到同事了哈哈，东京给这么高啊
1603	High end方向，民用住房/商业都有，各方面都很好但不支持h1b（室内公司基本都不），一年opt期满就得跑路所以已经在申建筑的研了	工资看着很高但是交完这个城市的天价房租之后也没剩多少
1604	支持工作签证绿卡办理，保险福利各项齐全，一个人住房租1500 USD （1W RMB）一个月	
1605		42w英镑？不太相信
1606	从土木工程转行做建筑，爱了爱了	挺好的拉
1607	工资很低，重税，教育医疗各种福利较完善。带薪假期非常多。	哪个城市和事务所方便透露吗？
1608	小厂，基本不加班。带薪假假期随工作时间逐年递增。	
1609	员工福利好，不加班，可以wfh	wfh是什么？是work from home
1610	做修详比较多不怎么加班，等下签后准备读书转行，这行业在国外也没前途，但比以前在省院强很多，不后悔裸辞	
1611		希望看到澳洲的同行信息，嘿嘿
1612		这位朋友是主要做什么工作呀？能方便说下么
1613	每天基本就是街心花园啊，某条路路牙要修啊某店铺门头要搞，某学校啥的，小项目很简单，算是很闲，五点半老板第一个溜，晚饭后跑会uber就能cover房租了	说实话境外工作舒服太多了，周一上午开公司会议，讨论项目进度，如果有来不及的，在会上说明，老板会去联系甲方。周五午饭之后进入下午茶时间，拿瓶啤酒到处溜达，也不用做事，哎和我之前国内公司比真是天上地下。
1614		
1615	没有假期，每天6-21点，在猝死的边缘拼命试探	
1616	注意是年薪50w美金！美金！美金！！！	补充一下，这是我公司没倒闭之前
1617	"每天的压力还是很大的，毕竟管理这么多人，还担心他们的安全
当然工资只是小头，奖金才是大头。"	老哥牛逼！
1618		
1619	不要写在这下面了，找到自己的城市，添加一行来写	不要写在这下面了，找到自己的城市，添加一行来写
1620	为了表格长久的存在， 请和谐讨论。	为了表格长久的存在， 请和谐讨论。
1621	想去送外卖了	没贷款吗 月发2000怎么活
1622		
1623	今年没做什么事，大部分时间摸鱼。上个月其他部门都在调工资，我们部门直接不谈这事	
1624		
1625		
1626		
1627		
1628		
1629		
1630		
1631		
1632	全年几乎无休	没啥事干
1633	表面双休，实则拿捏	
1634	双休	
1635	双休	
1636		
1637	全年无休，奴隶待遇	就这么说吧，有二建不如有个好亲戚，更不如有个好出身，做什么土木啊，还不如卖猪肉挣钱
1638	今年几乎每天平均2点下班，跨年朋友们都约好了一起，最后我自己加班，在出租车上跨年，还没有加班费！这点钱不值得我卖命，谢谢！每天6点无休止的甲方说明天早上9点就要，傻逼公司从来不考虑自己人一味地奴役员工。跑路了，破公司要倒闭了还想着上市，痴心妄想！	快跑
1639	双休平时加班	不建议干这行，没赚到啥钱
1640	双休，因为在这里建筑学是辅助专业，不怎么加班	能转行就转吧，听说碳交易行业不错，有无大神带带
1641	双休，但是加班不算少	想躺不敢躺
1642	双休，不加班，大环境不行，所以上下班自由，5险两金还行，根据年限增加	已经在规划转行了
1643	双休，偶尔加班，大部分时间准点回家，但是休息时间频繁被甲方打扰。	想跑路，迷茫。
1644	双休，偶尔加班，大部分时间准点回家，但是休息时间频繁被甲方打扰。	有时候两三千 有时候五六七 偶尔七八千，很不稳定有社保无一金，工资太低想转行
1645		
1646	双休，偶尔加班，大部分时间准点回家	能混多久就混多久，不要失业
1647	单休，偶尔加班，准时回家	混口饭吃吧，饿不死，也赚不到大钱。
1648	偶尔双休	还想买房房，但是经济不容乐观，害怕失业
1649	经常加班到十一点，频率就是一个月休息两三天	想转行，不知道干啥
1650		
1651	不怎么加班	怎么把领导噶了不用蹲号子
1652	为什么要加班，加你吗	
1653		
1654	一年基本无活可干，幸运的是月薪照发，每天准点上下班，明年公司要降薪裁员了	赶紧跑吧，送外卖都比干这行好
1655	加班少氛围不错，新项目几乎没有，好在规矩少自由，不打卡好评	开始谋副业了，本地上班，公司氛围不错还清闲，要是有稳定的副业我倒是考证躺平了
1656	加班多，无发展，累	
1657	事多，迷茫，不知道前路何方	
1658	来年离职上年奖金直接不发，加班严重喝酒多杂事多要求高经常PUA      国企做派十足可惜没有国企的福利。     那帮人动不动加班两三点，第二天还开会出差什么的，没事干也要求你必须在公司待到九十点，本人第二年离职了所以敢写，正在和前公司对线	点名     合肥  中机第一设计研究院有限公司徐州分公司
1659	加班少氛围不错，新项目几乎没有，好在规矩少自由，不打卡好评	
1660	到点下班，一分钟都不想呆	
1661	经常加班，大家基本上奖金大锅饭，工资有区别	建议年轻的尽早转行，
1662	天天干，一年上班300天	一家老小等着钱，没法转行了
1663		
1664		
1665		
1666		
1667		
1668		
1669		
1670		
1671		
1672		
1673		
1674		
1675		
1676		
1677		
